ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
4678,11-14 Years,11Y,M,BURLINGTON,BL,55
4679,3-5 Years,5Y,M,SOMERSET,BL,27
4680,15-20 Years,20Y,M,ESSEX,BL,26
4681,15-20 Years,20Y,M,ESSEX,BL,27
4682,6-10 Years,9Y,M,PASSAIC,BL,27
4683,6-10 Years,6Y,M,SALEM,BL,30
4684,11-14 Years,14Y,M,HUDSON,BL,32
4685,6-10 Years,10Y,M,BERGEN,BL,22
4686,6-10 Years,8Y,M,CAMDEN,WH,31
4687,6-10 Years,6Y,M,MIDDLESEX,BL,20
4688,6-10 Years,10Y,M,SOMERSET,BL,28
4689,21+ Years,LIFE,M,MERCER,BL,51
4690,1-2 Years,1Y 11M 27D,M,ESSEX,BL,26
4691,21+ Years,48Y,M,UNION,BL,34
4692,1-2 Years,1Y 6M 20D,M,ATLANTIC,BL,60
4693,3-5 Years,5Y,M,PASSAIC,WH,32
4694,21+ Years,23Y,M,MERCER,BL,28
4695,21+ Years,LIFE,M,MIDDLESEX,HW,51
4696,15-20 Years,15Y,M,OCEAN,HS,58
4697,6-10 Years,8Y,M,CAMDEN,BL,43
4698,6-10 Years,10Y,M,PASSAIC,BL,23
4699,1-2 Years,1Y 1M 20D,M,CAPE MAY,WH,26
4700,6-10 Years,7Y,M,MERCER,BL,53
4701,21+ Years,LIFE,M,MIDDLESEX,BL,51
4702,21+ Years,LIFE,M,BURLINGTON,WH,56
4703,21+ Years,28Y,M,PASSAIC,BL,26
4704,21+ Years,21Y 9M 11D,M,MIDDLESEX,BL,32
4705,1-2 Years,2Y 7M 20D,M,CAMDEN,WH,35
4706,3-5 Years,4Y 9M 4D,F,UNION,WH,29
4707,3-5 Years,5Y,M,SOMERSET,BL,23
4708,21+ Years,30Y,M,SALEM,BL,31
4709,15-20 Years,15Y,M,ESSEX,BL,26
4710,21+ Years,30Y,M,MONMOUTH,BL,56
4711,6-10 Years,9Y,M,MONMOUTH,BL,34
4712,3-5 Years,5Y,M,MONMOUTH,WH,28
4713,6-10 Years,7Y,M,ATLANTIC,BL,30
4714,3-5 Years,4Y 6M 5D,M,CAMDEN,BL,27
4715,15-20 Years,18Y,M,ATLANTIC,BL,29
4716,21+ Years,35Y,M,BURLINGTON,HS,35
4717,1-2 Years,1Y 8M 16D,M,PASSAIC,BL,33
