ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
10120,21+ Years,50Y,M,UNION,HS,47
10121,15-20 Years,16Y,M,MIDDLESEX,WH,26
10122,3-5 Years,4Y,M,MIDDLESEX,BL,60
10123,6-10 Years,7Y,M,PASSAIC,WH,27
10124,21+ Years,40Y,M,ESSEX,BL,47
10125,6-10 Years,6Y,M,SUSSEX,WH,28
10126,3-5 Years,5Y,M,MERCER,BL,28
10127,21+ Years,85Y,M,MERCER,BL,46
10128,6-10 Years,8Y,M,MONMOUTH,BL,48
10129,3-5 Years,3Y,M,HUDSON,BL,28
10130,6-10 Years,9Y,M,PASSAIC,BL,36
10131,21+ Years,47Y,M,CUMBERLAND,BL,22
10132,6-10 Years,6Y,M,PASSAIC,HS,24
10133,15-20 Years,18Y,M,BURLINGTON,WH,77
10134,6-10 Years,10Y,M,ESSEX,HS,28
10135,6-10 Years,7Y,M,BERGEN,HS,69
10136,3-5 Years,5Y,M,CUMBERLAND,BL,33
10137,3-5 Years,4Y,M,UNION,HS,37
10138,21+ Years,LIFE,M,ESSEX,BL,64
10139,21+ Years,LIFE,M,PASSAIC,WH,47
10140,6-10 Years,10Y,M,PASSAIC,HS,37
10141,6-10 Years,8Y,M,GLOUCESTER,BL,26
10142,1-2 Years,2Y 17D,M,ESSEX,BL,47
10143,21+ Years,48Y,M,ESSEX,BL,47
10144,21+ Years,41Y,M,CUMBERLAND,BL,28
10145,3-5 Years,5Y,M,MORRIS,BL,48
10146,11-14 Years,12Y,M,MORRIS,BL,28
10147,3-5 Years,4Y 4M 2D,M,CAMDEN,BL,28
10148,6-10 Years,8Y,M,CAMDEN,BL,24
10149,3-5 Years,5Y,M,SALEM,WH,24
10150,21+ Years,LIFE,M,HUDSON,HW,60
10151,21+ Years,LIFE,M,CUMBERLAND,WH,47
10152,3-5 Years,4Y 8M 11D,M,ATLANTIC,BL,30
10153,3-5 Years,4Y,M,CAMDEN,HS,49
10154,21+ Years,LIFE,M,BERGEN,BL,52
10155,21+ Years,30Y,M,UNION,BL,47
10156,15-20 Years,20Y,M,HUDSON,HS,28
10157,3-5 Years,3Y,M,HUNTERDON,WH,24
10158,3-5 Years,5Y,M,OCEAN,BL,48
10159,3-5 Years,5Y,M,ESSEX,BL,22
10160,11-14 Years,11Y 4M 27D,M,BURLINGTON,WH,37
10161,1-2 Years,1Y 1M 15D,M,PASSAIC,BL,30
10162,3-5 Years,5Y,M,CAMDEN,BL,27
10163,6-10 Years,8Y,M,BURLINGTON,WH,31
10164,6-10 Years,10Y,M,PASSAIC,BL,46
10165,3-5 Years,3Y 2M 23D,M,CAMDEN,BL,28
10166,3-5 Years,3Y,M,MONMOUTH,HS,36
10167,6-10 Years,7Y,M,MIDDLESEX,WH,52
10168,6-10 Years,10Y,M,PASSAIC,WH,38
10169,6-10 Years,10Y,M,PASSAIC,HS,39
10170,15-20 Years,19Y,M,CUMBERLAND,BL,28
10171,21+ Years,LIFE,F,HUNTERDON,WH,45
10173,3-5 Years,3Y,M,ESSEX,BL,28
10174,21+ Years,LIFE,M,ESSEX,HS,61
10175,3-5 Years,3Y 6M,M,ESSEX,BL,32
10176,3-5 Years,4Y 6M 29D,M,ESSEX,BL,49
10177,11-14 Years,14Y,M,PASSAIC,BL,34
10178,21+ Years,LIFE,M,ATLANTIC,BL,60
10179,3-5 Years,5Y,F,ESSEX,BL,23
10180,6-10 Years,7Y,M,ATLANTIC,BL,33
10181,11-14 Years,12Y,M,MONMOUTH,WH,63
10182,6-10 Years,8Y,M,MERCER,BL,33
10183,21+ Years,LIFE,M,ESSEX,HW,60
10184,21+ Years,22Y,M,ESSEX,BL,34
10185,21+ Years,25Y,M,MERCER,BL,46
10186,21+ Years,30Y,M,CUMBERLAND,WH,25
10187,21+ Years,58Y,M,CAMDEN,BL,30
10188,3-5 Years,5Y,M,OCEAN,BL,47
10189,6-10 Years,8Y,M,PASSAIC,BL,33
10190,21+ Years,26Y,M,ATLANTIC,BL,39
10191,3-5 Years,5Y,M,CAPE MAY,BL,37
10192,21+ Years,23Y,M,PASSAIC,HS,20
10193,6-10 Years,6Y,M,CAMDEN,BL,38
10194,6-10 Years,10Y,M,HUDSON,HS,24
10195,3-5 Years,3Y,M,ESSEX,BL,47
10196,15-20 Years,20Y,M,CAMDEN,BL,34
10197,11-14 Years,12Y,M,MERCER,HS,41
10198,21+ Years,LIFE,M,BERGEN,WH,47
10199,3-5 Years,3Y 4M 5D,M,MIDDLESEX,HS,27
10200,21+ Years,30Y,M,MONMOUTH,WH,44
10201,3-5 Years,5Y,M,ATLANTIC,BL,23
10202,21+ Years,25Y,M,MONMOUTH,WH,48
10203,6-10 Years,10Y,M,CAPE MAY,BL,32
10204,6-10 Years,8Y,M,SOMERSET,BL,31
10205,6-10 Years,9Y,M,CAMDEN,HS,33
10206,6-10 Years,9Y,M,PASSAIC,HS,45
10207,3-5 Years,3Y,M,ESSEX,BL,48
10208,6-10 Years,10Y,M,ATLANTIC,BL,35
10209,3-5 Years,5Y,M,CUMBERLAND,BL,36
10210,15-20 Years,15Y,M,ATLANTIC,BL,34
10211,3-5 Years,5Y,M,ESSEX,BL,32
10212,21+ Years,LIFE,M,ESSEX,BL,47
10213,6-10 Years,8Y,M,MONMOUTH,BL,33
10214,11-14 Years,12Y 2M 25D,M,UNION,HS,30
10215,6-10 Years,6Y,M,BERGEN,HS,33
10216,11-14 Years,12Y,M,CAMDEN,BL,47
10217,3-5 Years,4Y 9M 16D,M,PASSAIC,BL,32
10218,6-10 Years,7Y,M,ESSEX,BL,25
10219,6-10 Years,10Y,M,MIDDLESEX,HS,22
10220,3-5 Years,5Y,M,ATLANTIC,BL,23
10221,1-2 Years,1Y 7M 20D,M,ESSEX,BL,24
10222,3-5 Years,5Y,M,ATLANTIC,BL,30
10223,6-10 Years,7Y,M,UNION,BL,28
10224,21+ Years,45Y,M,OCEAN,WH,58
10225,3-5 Years,5Y,M,CAMDEN,BL,29
10226,3-5 Years,3Y,F,HUDSON,HS,47
10227,6-10 Years,10Y,M,CAPE MAY,WH,46
10228,21+ Years,23Y,M,ATLANTIC,BL,46
10229,6-10 Years,10Y,M,CAMDEN,HS,32
10230,15-20 Years,17Y,M,ESSEX,BL,30
10231,21+ Years,33Y,M,MIDDLESEX,BL,47
10232,21+ Years,22Y,M,ESSEX,BL,52
10233,3-5 Years,5Y,M,HUDSON,BL,21
10234,21+ Years,29Y,M,ESSEX,BL,48
10235,21+ Years,31Y 6M,M,HUDSON,WH,48
10236,3-5 Years,5Y,M,MONMOUTH,BL,20
10237,21+ Years,LIFE,M,ESSEX,BL,54
10238,1-2 Years,2Y 4M 17D,M,CAMDEN,HS,27
10239,11-14 Years,12Y,M,ESSEX,BL,47
10240,6-10 Years,7Y,M,HUDSON,WH,47
10241,6-10 Years,10Y,M,MIDDLESEX,BL,61
10242,21+ Years,22Y,M,PASSAIC,BL,29
10243,21+ Years,90Y,M,UNION,BL,45
10244,21+ Years,25Y,M,UNION,BL,31
10245,21+ Years,50Y,M,ESSEX,BL,47
10246,3-5 Years,5Y,M,HUNTERDON,HS,35
10247,15-20 Years,16Y,M,BERGEN,WH,40
10248,6-10 Years,6Y,M,WARREN,HS,37
10249,6-10 Years,7Y,M,OCEAN,WH,60
10250,6-10 Years,8Y,M,GLOUCESTER,BL,30
10251,21+ Years,LIFE,M,PASSAIC,HW,47
10252,3-5 Years,5Y,M,MIDDLESEX,BL,22
10253,6-10 Years,7Y,M,BURLINGTON,BL,30
10254,3-5 Years,3Y,M,ESSEX,HS,23
10255,6-10 Years,9Y 3M 22D,M,MONMOUTH,BL,47
10256,3-5 Years,3Y 2M 22D,M,MIDDLESEX,BL,50
10257,21+ Years,LIFE1,M,ESSEX,BL,63
10259,3-5 Years,3Y,M,ESSEX,BL,23
10260,6-10 Years,6Y,M,HUNTERDON,BL,60
10261,6-10 Years,10Y,M,CAMDEN,HS,28
10262,3-5 Years,4Y,M,CAMDEN,WH,38
10263,6-10 Years,8Y,M,PASSAIC,HS,46
10264,3-5 Years,5Y,M,BERGEN,HS,33
10265,21+ Years,LIFE,M,ESSEX,BL,61
10267,21+ Years,38Y,M,MORRIS,WH,49
10268,6-10 Years,6Y,M,ESSEX,BL,25
10269,6-10 Years,7Y,M,CAMDEN,BL,36
10270,6-10 Years,7Y,M,CUMBERLAND,WH,34
10271,3-5 Years,3Y 7M 22D,M,HUDSON,BL,33
10272,6-10 Years,8Y,M,MERCER,BL,28
10273,3-5 Years,4Y,M,HUDSON,HS,27
10274,15-20 Years,20Y,M,HUDSON,BL,46
10275,3-5 Years,5Y,M,ESSEX,BL,21
10276,6-10 Years,8Y,M,CAPE MAY,BL,22
10277,6-10 Years,8Y,M,CAPE MAY,BL,21
10278,1-2 Years,2Y 9M 23D,M,ESSEX,BL,27
10279,6-10 Years,10Y,M,HUNTERDON,WH,54
10280,21+ Years,26Y 7M 11D,M,ESSEX,BL,51
10282,3-5 Years,5Y,M,CAMDEN,BL,28
10283,3-5 Years,4Y 4M 14D,M,MERCER,BL,50
10284,6-10 Years,6Y,M,UNION,BL,24
10285,3-5 Years,5Y,M,ESSEX,BL,29
10286,3-5 Years,5Y,M,MERCER,BL,62
10287,15-20 Years,16Y,M,CAMDEN,BL,48
10288,3-5 Years,5Y,M,CAPE MAY,BL,24
10289,6-10 Years,7Y,M,CAMDEN,BL,34
10290,21+ Years,LIFE,M,ESSEX,BL,60
10291,6-10 Years,8Y,M,UNION,HS,26
10292,15-20 Years,20Y,M,CUMBERLAND,HS,32
10293,3-5 Years,3Y,M,ESSEX,HS,28
10294,3-5 Years,5Y,M,MONMOUTH,BL,19
10295,3-5 Years,5Y,M,CUMBERLAND,BL,46
10296,3-5 Years,5Y,M,CUMBERLAND,HS,42
10297,21+ Years,28Y,M,PASSAIC,BL,60
10298,3-5 Years,4Y 3M 7D,M,ESSEX,BL,33
10299,3-5 Years,5Y,M,ESSEX,BL,25
10300,3-5 Years,4Y,M,CAMDEN,BL,25
10301,21+ Years,60Y,M,CAMDEN,BL,26
10302,3-5 Years,4Y 5M 18D,M,GLOUCESTER,BL,31
10303,21+ Years,28Y,M,CUMBERLAND,HS,30
10304,21+ Years,LIFE,M,ESSEX,BL,37
10305,21+ Years,80Y,M,PASSAIC,HS,60
10306,21+ Years,30Y,M,HUDSON,BL,51
10307,3-5 Years,5Y,M,UNION,WH,50
10308,21+ Years,LIFE,M,ATLANTIC,BL,55
10309,21+ Years,LIFE,M,ESSEX,BL,46
10310,6-10 Years,7Y,M,HUDSON,HS,22
10312,6-10 Years,10Y,M,OCEAN,BL,30
10313,6-10 Years,7Y,M,PASSAIC,HS,31
10314,21+ Years,LIFE,M,HUDSON,HW,50
10315,11-14 Years,12Y,M,CAMDEN,BL,41
10316,6-10 Years,6Y,F,MIDDLESEX,WH,51
10317,21+ Years,30Y,M,OCEAN,WH,56
10318,21+ Years,LIFE,M,ESSEX,BL,46
10319,11-14 Years,13Y,M,SUSSEX,BL,36
10320,6-10 Years,7Y 6M,M,ATLANTIC,WH,37
10321,21+ Years,60Y,M,ESSEX,BL,61
10322,6-10 Years,8Y,M,HUDSON,BL,61
10323,21+ Years,148Y,M,UNION,BL,47
10324,15-20 Years,15Y,M,BERGEN,HS,37
10325,6-10 Years,7Y,M,CAMDEN,HS,30
10326,6-10 Years,7Y,M,ESSEX,WH,22
10327,1-2 Years,2Y 8M 8D,M,ATLANTIC,BL,34
10328,21+ Years,30Y,M,ESSEX,WH,72
10329,3-5 Years,4Y,M,MERCER,BL,34
10330,15-20 Years,20Y,M,MERCER,BL,32
10331,21+ Years,LIFE4,M,OTHER,WH,39
10332,21+ Years,LIFE,M,CAPE MAY,WH,60
10333,21+ Years,LIFE,F,OTHER,WH,60
10334,6-10 Years,8Y,M,MIDDLESEX,HS,48
10335,6-10 Years,6Y 6M,F,PASSAIC,WH,36
10336,6-10 Years,10Y,F,OCEAN,WH,31
10337,3-5 Years,3Y,M,ESSEX,BL,24
10338,6-10 Years,6Y,M,GLOUCESTER,WH,24
10339,15-20 Years,20Y,F,HUDSON,HS,40
10340,6-10 Years,10Y,M,ATLANTIC,BL,61
10341,3-5 Years,5Y,M,GLOUCESTER,WH,30
10342,15-20 Years,18Y,M,ESSEX,BL,72
10343,3-5 Years,5Y,M,PASSAIC,BL,29
10344,15-20 Years,20Y,M,ESSEX,HS,42
10345,6-10 Years,7Y,M,MERCER,HW,64
10346,3-5 Years,5Y,M,MORRIS,BL,31
10347,3-5 Years,5Y,M,BERGEN,BL,37
10349,3-5 Years,5Y,M,MONMOUTH,HS,29
10350,6-10 Years,8Y,M,ESSEX,WH,23
10351,3-5 Years,5Y,M,ESSEX,HS,34
10352,6-10 Years,10Y,M,PASSAIC,HS,34
10353,3-5 Years,5Y,M,PASSAIC,BL,22
10354,1-2 Years,1Y 1M 20D,M,MERCER,BL,34
10356,21+ Years,22Y,M,BERGEN,HS,37
10357,15-20 Years,19Y,M,ESSEX,HS,41
10358,3-5 Years,5Y,M,ATLANTIC,WH,26
10359,6-10 Years,10Y,M,BERGEN,HS,45
10360,6-10 Years,9Y,M,CUMBERLAND,HS,42
10361,3-5 Years,5Y,M,MERCER,BL,21
10362,6-10 Years,6Y,M,OCEAN,BL,22
10363,15-20 Years,20Y,M,ATLANTIC,HS,30
10364,21+ Years,LIFE,M,UNION,BL,61
10365,3-5 Years,5Y,M,ESSEX,BL,30
10366,21+ Years,22Y,M,PASSAIC,BL,36
10367,11-14 Years,12Y,M,MERCER,BL,36
10368,21+ Years,39Y,M,BURLINGTON,WH,50
10369,3-5 Years,4Y,M,BERGEN,HS,24
10370,3-5 Years,5Y 5D,F,MERCER,BL,27
10371,21+ Years,LIFE,M,MERCER,BL,63
10372,21+ Years,LIFE,M,BERGEN,HS,68
10373,3-5 Years,3Y,M,BURLINGTON,BL,23
10374,3-5 Years,5Y,M,MIDDLESEX,WH,30
10375,3-5 Years,3Y,M,CAMDEN,BL,36
10376,3-5 Years,5Y,M,MIDDLESEX,BL,23
10377,21+ Years,30Y,M,UNION,BL,35
10378,3-5 Years,4Y 10M 2D,M,PASSAIC,BL,28
10379,6-10 Years,7Y,M,PASSAIC,HS,66
10380,1-2 Years,1Y 2M 17D,M,PASSAIC,BL,30
10381,3-5 Years,4Y,M,HUDSON,HS,50
10382,11-14 Years,12Y,M,ESSEX,BL,20
10383,3-5 Years,3Y,M,CUMBERLAND,WH,29
10384,3-5 Years,5Y,M,MIDDLESEX,WH,38
10385,3-5 Years,5Y,M,CAMDEN,BL,62
10386,6-10 Years,10Y,M,HUNTERDON,WH,30
10387,6-10 Years,8Y 2M 6D,M,ESSEX,BL,31
10388,6-10 Years,10Y,M,MIDDLESEX,HS,30
10389,6-10 Years,10Y,M,MIDDLESEX,BL,35
10390,3-5 Years,5Y,F,BERGEN,WH,38
10391,21+ Years,LIFE,M,BERGEN,WH,46
10392,3-5 Years,5Y,M,ESSEX,BL,28
10393,6-10 Years,10Y,M,MIDDLESEX,HS,33
10394,15-20 Years,20Y,M,ESSEX,BL,24
10395,3-5 Years,5Y,M,HUDSON,BL,60
10396,3-5 Years,5Y,M,BERGEN,WH,37
10397,3-5 Years,3Y 6M,M,ESSEX,BL,32
10398,3-5 Years,5Y,F,CAMDEN,BL,23
10399,6-10 Years,10Y,M,OCEAN,HS,25
10400,6-10 Years,10Y,M,SOMERSET,BL,35
10401,21+ Years,LIFE,M,HUDSON,BL,62
10402,6-10 Years,7Y,M,CAMDEN,HS,41
10403,3-5 Years,5Y,M,BURLINGTON,BL,20
10404,6-10 Years,6Y,M,BURLINGTON,WH,31
10405,21+ Years,28Y,M,SUSSEX,HS,63
10406,15-20 Years,18Y,M,ESSEX,BL,37
10407,3-5 Years,5Y,M,PASSAIC,BL,36
10408,11-14 Years,13Y,M,CAMDEN,BL,27
10409,6-10 Years,8Y,F,MORRIS,WH,57
10410,15-20 Years,16Y,M,MONMOUTH,HW,61
10411,3-5 Years,5Y,M,CAMDEN,BL,26
10412,15-20 Years,18Y,M,BURLINGTON,BL,57
10413,6-10 Years,10Y,M,CAMDEN,BL,74
10414,15-20 Years,15Y,M,HUDSON,WH,28
10415,3-5 Years,5Y,M,MERCER,BL,24
10416,6-10 Years,8Y,M,ESSEX,HS,33
10417,21+ Years,32Y,M,ATLANTIC,BL,32
10418,6-10 Years,7Y,M,CUMBERLAND,BL,25
10419,21+ Years,80Y,F,ATLANTIC,BL,53
10420,3-5 Years,5Y,M,ESSEX,HS,27
10421,3-5 Years,5Y,M,UNION,BL,28
10422,21+ Years,25Y,M,MERCER,BL,30
10423,3-5 Years,3Y,M,MORRIS,BL,20
10424,3-5 Years,5Y,M,CUMBERLAND,BL,26
10425,3-5 Years,3Y,M,BURLINGTON,BL,25
10426,15-20 Years,20Y,M,UNION,HS,43
10427,6-10 Years,6Y,M,CUMBERLAND,WH,37
10428,6-10 Years,8Y,M,MERCER,HS,46
10429,21+ Years,23Y,M,ATLANTIC,BL,29
10430,6-10 Years,9Y,M,ESSEX,BL,26
10431,6-10 Years,8Y,F,MONMOUTH,WH,46
10432,3-5 Years,5Y,M,MIDDLESEX,BL,33
10433,21+ Years,30Y,M,MERCER,BL,36
10434,1-2 Years,2Y 10M 13D,M,MERCER,BL,62
10435,1-2 Years,1Y 6M,M,ATLANTIC,BL,46
10436,6-10 Years,6Y,M,MERCER,BL,32
10437,15-20 Years,17Y 6M,M,CAMDEN,BL,27
10438,21+ Years,55Y,M,ESSEX,BL,62
10439,3-5 Years,5Y,M,HUDSON,HS,30
10440,3-5 Years,5Y,M,SOMERSET,WH,36
10441,6-10 Years,7Y,M,BERGEN,BL,47
10442,21+ Years,38Y,M,CAMDEN,HS,47
10443,21+ Years,LIFE,M,ESSEX,BL,60
10444,3-5 Years,3Y,M,MONMOUTH,HS,33
10445,21+ Years,40Y,M,PASSAIC,BL,32
10446,3-5 Years,5Y,M,MIDDLESEX,BL,24
10447,3-5 Years,5Y,F,MIDDLESEX,WH,37
10448,21+ Years,LIFE,M,ESSEX,BL,46
10449,3-5 Years,5Y,F,MIDDLESEX,BL,34
10450,3-5 Years,5Y,M,MIDDLESEX,BL,62
10451,6-10 Years,10Y,F,MIDDLESEX,BL,27
10452,3-5 Years,3Y 10M 27D,M,HUDSON,BL,47
10453,21+ Years,50Y,M,CAMDEN,HS,76
10454,11-14 Years,14Y,M,ESSEX,BL,46
10455,21+ Years,50Y,M,SALEM,BL,35
10456,3-5 Years,5Y,M,MONMOUTH,BL,33
10457,15-20 Years,17Y 11M 9D,M,ESSEX,BL,49
10458,21+ Years,LIFE,M,OCEAN,WH,65
10459,1-2 Years,1Y 9M 20D,M,PASSAIC,BL,25
10460,6-10 Years,7Y,M,HUDSON,BL,23
10461,6-10 Years,8Y,M,ESSEX,BL,24
10462,6-10 Years,7Y,M,ATLANTIC,BL,62
10463,21+ Years,LIFE,M,MERCER,BL,55
10464,3-5 Years,5Y,M,PASSAIC,WH,22
10465,3-5 Years,3Y,M,ATLANTIC,BL,28
10466,3-5 Years,5Y,M,HUDSON,BL,22
10467,6-10 Years,10Y,M,ESSEX,BL,59
10468,6-10 Years,6Y,M,CUMBERLAND,BL,22
10469,6-10 Years,10Y,M,ATLANTIC,BL,32
10470,15-20 Years,20Y 5M 2D,M,ESSEX,BL,34
10471,21+ Years,30Y,M,MERCER,BL,35
10472,6-10 Years,6Y,M,ATLANTIC,BL,46
10473,3-5 Years,5Y,F,BURLINGTON,WH,46
10474,3-5 Years,5Y,M,MIDDLESEX,BL,21
10475,15-20 Years,20Y,M,ATLANTIC,BL,30
10476,3-5 Years,3Y,M,ESSEX,BL,22
10477,21+ Years,40Y,M,ESSEX,BL,37
10479,11-14 Years,12Y,M,MORRIS,WH,27
10480,3-5 Years,5Y,M,CAMDEN,BL,30
10481,6-10 Years,6Y 7D,M,ESSEX,BL,22
10482,21+ Years,LIFE,M,HUDSON,OA,43
10483,21+ Years,60Y,M,HUDSON,BL,54
10484,6-10 Years,8Y,M,GLOUCESTER,WH,24
10485,15-20 Years,20Y,M,ESSEX,HS,30
10486,15-20 Years,20Y,M,ESSEX,HS,47
10487,15-20 Years,15Y,M,HUDSON,BL,51
10488,15-20 Years,16Y,M,UNION,BL,48
10489,15-20 Years,20Y,M,MONMOUTH,WH,39
10490,21+ Years,LIFE,M,OCEAN,BL,33
10491,6-10 Years,7Y,M,MIDDLESEX,BL,25
10492,11-14 Years,13Y,M,ESSEX,BL,60
10493,3-5 Years,4Y 2M 26D,M,UNION,BL,27
10494,3-5 Years,5Y,M,UNION,BL,22
10495,21+ Years,25Y,M,PASSAIC,WH,35
10496,21+ Years,27Y,M,CAMDEN,BL,49
10497,21+ Years,24Y,M,ATLANTIC,HS,49
10498,15-20 Years,15Y,M,CAMDEN,HS,33
10499,11-14 Years,12Y,M,PASSAIC,BL,26
10500,21+ Years,LIFE,M,CAMDEN,BL,61
10501,3-5 Years,3Y,M,ATLANTIC,WH,32
10502,3-5 Years,4Y 5M 5D,M,PASSAIC,BL,32
10503,3-5 Years,4Y 10M 19D,M,PASSAIC,BL,23
10504,3-5 Years,3Y,M,SALEM,BL,26
10505,1-2 Years,2Y 4M 28D,M,PASSAIC,WH,37
10506,21+ Years,LIFE,M,ESSEX,BL,49
10507,21+ Years,60Y,M,UNION,BL,35
10508,6-10 Years,7Y,M,MIDDLESEX,HS,33
10509,21+ Years,23Y 10M 4D,M,MERCER,BL,36
10510,6-10 Years,7Y,M,ATLANTIC,BL,60
10511,3-5 Years,3Y,M,HUDSON,BL,22
10512,6-10 Years,7Y,M,ESSEX,BL,32
10513,3-5 Years,5Y,M,ESSEX,BL,23
10514,21+ Years,22Y,M,CAMDEN,BL,32
10515,6-10 Years,10Y,M,ATLANTIC,HS,25
10516,3-5 Years,5Y,M,CUMBERLAND,WH,44
10517,1-2 Years,2Y 10M 24D,M,CAMDEN,BL,24
10518,11-14 Years,14Y,M,MORRIS,WH,60
10519,6-10 Years,8Y,M,BERGEN,BL,42
10520,3-5 Years,5Y,M,CAMDEN,WH,49
10521,3-5 Years,4Y,M,ESSEX,BL,35
10522,6-10 Years,10Y,M,ESSEX,BL,32
10523,3-5 Years,5Y,M,HUDSON,BL,35
10524,3-5 Years,5Y,M,OCEAN,BL,40
10525,6-10 Years,6Y,M,MIDDLESEX,HS,35
10526,11-14 Years,11Y,F,CUMBERLAND,WH,45
10527,6-10 Years,6Y,M,ATLANTIC,HS,44
10528,11-14 Years,12Y,M,MONMOUTH,WH,31
10529,3-5 Years,3Y,M,MIDDLESEX,HS,25
10530,21+ Years,40Y,M,CAMDEN,WH,68
10531,6-10 Years,7Y,M,MERCER,BL,27
10532,21+ Years,28Y,M,CAMDEN,BL,34
10533,21+ Years,35Y,M,BURLINGTON,BL,32
10534,6-10 Years,7Y,M,MONMOUTH,BL,46
10535,11-14 Years,13Y 6M,M,MIDDLESEX,BL,29
10536,3-5 Years,5Y,M,ESSEX,BL,36
10537,6-10 Years,8Y,M,UNION,BL,34
10538,3-5 Years,3Y,M,UNION,BL,21
10540,6-10 Years,7Y,M,ATLANTIC,BL,26
10541,1-2 Years,2Y 8M 21D,M,CAMDEN,BL,45
10542,21+ Years,30Y,M,BURLINGTON,WH,46
10543,6-10 Years,8Y,M,HUDSON,HS,82
10544,11-14 Years,13Y,M,ESSEX,BL,30
10545,6-10 Years,9Y,M,PASSAIC,BL,39
10546,11-14 Years,12Y,M,UNION,HS,21
10547,21+ Years,26Y,M,HUDSON,HS,36
10548,11-14 Years,14Y,M,MONMOUTH,HS,35
10549,3-5 Years,5Y,M,BERGEN,BL,22
10550,15-20 Years,15Y,M,MERCER,WH,60
10551,3-5 Years,5Y,M,MERCER,BL,27
10552,21+ Years,23Y,M,HUDSON,HS,48
10553,3-5 Years,3Y,M,PASSAIC,BL,47
10554,6-10 Years,6Y,M,MERCER,BL,23
10555,21+ Years,40Y,M,BERGEN,BL,47
10556,15-20 Years,15Y,M,ESSEX,BL,35
10557,6-10 Years,7Y,M,BERGEN,BL,35
10558,6-10 Years,7Y,M,ESSEX,WH,35
10559,6-10 Years,7Y,M,CUMBERLAND,BL,50
10560,3-5 Years,5Y,M,ATLANTIC,WH,22
10561,3-5 Years,3Y,M,GLOUCESTER,HS,27
10562,15-20 Years,20Y,M,HUDSON,HS,35
10563,3-5 Years,5Y,M,MERCER,BL,25
10564,15-20 Years,18Y,F,MIDDLESEX,BL,47
10565,21+ Years,28Y,M,CAMDEN,BL,47
10566,1-2 Years,2Y 2M 27D,M,GLOUCESTER,HS,31
10567,21+ Years,LIFE,M,HUDSON,HS,60
10568,6-10 Years,7Y,M,CUMBERLAND,BL,32
10569,21+ Years,22Y,F,CAMDEN,BL,27
10570,15-20 Years,16Y,M,OCEAN,WH,47
10571,3-5 Years,3Y,M,ESSEX,WH,30
10572,3-5 Years,5Y,M,MORRIS,WH,35
10573,6-10 Years,10Y,M,OCEAN,WH,36
10574,3-5 Years,5Y,M,MIDDLESEX,BL,27
10575,3-5 Years,5Y,M,ESSEX,BL,24
10576,15-20 Years,20Y,M,ESSEX,BL,32
10577,21+ Years,95Y,M,BERGEN,HS,59
10578,6-10 Years,7Y,M,UNION,BL,23
10579,21+ Years,LIFE,M,WARREN,WH,64
10580,15-20 Years,15Y,M,ESSEX,HS,37
10581,6-10 Years,10Y,M,CUMBERLAND,BL,47
10582,3-5 Years,5Y,M,HUDSON,BL,28
10583,3-5 Years,4Y 14D,M,ESSEX,WH,40
10584,3-5 Years,3Y,M,MONMOUTH,WH,33
10585,21+ Years,30Y,M,CAMDEN,BL,35
10586,6-10 Years,10Y,M,SOMERSET,OA,27
10587,3-5 Years,5Y,M,ESSEX,HS,27
10588,6-10 Years,7Y,F,MIDDLESEX,WH,23
10589,6-10 Years,7Y,M,WARREN,WH,33
10590,21+ Years,65Y,M,MONMOUTH,HS,47
10591,1-2 Years,1Y 7M 7D,M,MIDDLESEX,BL,50
10592,15-20 Years,20Y,M,HUDSON,BL,24
10593,15-20 Years,18Y 9M 7D,M,MERCER,WH,46
10594,3-5 Years,5Y,M,MERCER,BL,33
10595,6-10 Years,7Y,M,CUMBERLAND,BL,39
10596,11-14 Years,12Y,M,GLOUCESTER,HS,36
10597,21+ Years,LIFE,M,BURLINGTON,BL,68
10598,11-14 Years,12Y,F,SUSSEX,WH,55
10599,3-5 Years,5Y,M,GLOUCESTER,BL,48
10600,6-10 Years,6Y,M,PASSAIC,BL,24
10601,3-5 Years,5Y,M,ESSEX,BL,24
10602,3-5 Years,5Y,M,MERCER,BL,46
10603,1-2 Years,1Y 2M,M,MONMOUTH,WH,47
10604,21+ Years,LIFE,M,ESSEX,BL,47
10605,11-14 Years,13Y,M,UNION,BL,25
10606,6-10 Years,10Y,M,CAMDEN,WH,31
10607,1-2 Years,1Y 6M 26D,M,PASSAIC,HS,23
10608,21+ Years,LIFE,F,HUDSON,HW,64
10609,15-20 Years,20Y,M,MIDDLESEX,BL,46
10610,21+ Years,30Y,M,UNION,WH,27
10611,3-5 Years,5Y,M,BURLINGTON,HS,25
10612,21+ Years,30Y,M,BURLINGTON,BL,37
10613,21+ Years,LIFE,M,MORRIS,BL,47
10614,3-5 Years,5Y,M,MIDDLESEX,BL,37
10615,15-20 Years,20Y 6M,M,BERGEN,BL,46
10616,11-14 Years,12Y,M,BERGEN,HS,44
10617,6-10 Years,7Y,M,MONMOUTH,BL,35
10618,15-20 Years,20Y,M,ESSEX,BL,32
10619,1-2 Years,1Y 10M 8D,M,CAMDEN,BL,28
10620,6-10 Years,10Y,M,MIDDLESEX,BL,36
10621,15-20 Years,19Y,M,ESSEX,BL,30
10622,6-10 Years,6Y 6M,M,ESSEX,BL,22
